"year","course_level","sustainability_classification","total_courses","total_sections"
"AY20","Undergraduate","Not Related",2032,5061
"AY20","Undergraduate","SDG-Related",1394,3115
"AY20","Undergraduate","Sustainability-Focused",97,264
"AY20","Undergraduate","Sustainability-Inclusive",690,1434
"AY20","graduate","Not Related",1480,2390
"AY20","graduate","SDG-Related",2003,4124
"AY20","graduate","Sustainability-Focused",74,90
"AY20","graduate","Sustainability-Inclusive",945,2226
"AY21","Undergraduate","Not Related",1950,4889
"AY21","Undergraduate","SDG-Related",1293,3031
"AY21","Undergraduate","Sustainability-Focused",99,285
"AY21","Undergraduate","Sustainability-Inclusive",687,1480
"AY21","graduate","Not Related",1483,2443
"AY21","graduate","SDG-Related",1974,3966
"AY21","graduate","Sustainability-Focused",72,94
"AY21","graduate","Sustainability-Inclusive",909,2151
"AY22","Undergraduate","Not Related",2003,4998
"AY22","Undergraduate","SDG-Related",1378,3130
"AY22","Undergraduate","Sustainability-Focused",119,285
"AY22","Undergraduate","Sustainability-Inclusive",704,1477
"AY22","graduate","Not Related",1545,2588
"AY22","graduate","SDG-Related",2041,4055
"AY22","graduate","Sustainability-Focused",77,97
"AY22","graduate","Sustainability-Inclusive",937,2123
"AY23","Undergraduate","Not Related",2047,5118
"AY23","Undergraduate","SDG-Related",1392,3074
"AY23","Undergraduate","Sustainability-Focused",117,297
"AY23","Undergraduate","Sustainability-Inclusive",725,1496
"AY23","graduate","Not Related",1577,2583
"AY23","graduate","SDG-Related",2035,3818
"AY23","graduate","Sustainability-Focused",79,105
"AY23","graduate","Sustainability-Inclusive",961,1955
"AY24","Undergraduate","Not Related",2048,5103
"AY24","Undergraduate","SDG-Related",1420,3130
"AY24","Undergraduate","Sustainability-Focused",135,317
"AY24","Undergraduate","Sustainability-Inclusive",729,1477
"AY24","graduate","Not Related",1602,2556
"AY24","graduate","SDG-Related",2072,3642
"AY24","graduate","Sustainability-Focused",74,94
"AY24","graduate","Sustainability-Inclusive",927,1753
"AY25","Undergraduate","Not Related",2220,6239
"AY25","Undergraduate","SDG-Related",1462,3591
"AY25","Undergraduate","Sustainability-Focused",159,380
"AY25","Undergraduate","Sustainability-Inclusive",764,1669
"AY25","graduate","Not Related",1578,2537
"AY25","graduate","SDG-Related",1409,2423
"AY25","graduate","Sustainability-Focused",98,130
"AY25","graduate","Sustainability-Inclusive",682,1096
